code,num
C1072,647.6647302621302
C1128,1171.6843226736949
C1456,512.154075374457
C1840,579.8790688266367
C1332,1048.2379433269405
C1563,1572.056552046642
C1794,964.2278174284937
C1640,447.26389939092184
C1377,353.73457097857937
C2072,334.1686164391431
C1472,506.4347302464541
C1006,209.67500680095876
C1083,475.2919174398925
C1311,335.4250606378937
C2676,61.46004590790578
C2318,289.16054244515635
C1603,565.9293149335452
C2523,359.8195490278824
C2177,127.27461914318404
C2411,740.4216588153421
C2033,175.78295090028024
C1604,407.98327576871145
C2535,433.055600375597
C1040,483.1449879289003
C2417,414.0035537585318
C1812,36.32537458617955
C2253,133.4332301635363
C1294,476.0538839592894
C1772,542.0587254189586
C2646,414.5522304353019
C1152,940.009837564348
C2423,255.92247340717665
C1844,570.317621487107
C1318,313.3397035219951
C1729,161.79761337161057
C1602,404.25067941077094
C1239,488.4733230610486
C1721,524.7935901283548
C1902,760.6035145136007
C1855,324.14345587472127
C2600,477.35674142663436
C1071,386.9891619799274
C2295,327.22303519876033
C1621,579.1823058251804
C1852,790.4276694137092
C2555,1102.2240976435073
C1297,491.4759706111151
C2323,572.5055531283131
C2215,378.7896290942891
C2112,349.11263686432477
C1830,758.2641459131112
C2602,327.396951263418
C2608,1037.3040892845522
C1215,691.1451257304283
C2369,591.9485171985016
C1158,228.1202984182875
C1887,537.9689011310967
C1189,364.96019473823907
C1637,441.11504923992953
C1225,219.29697098034435
C2374,373.49907279174204
C2397,535.9132130744779
C1105,908.0810286776663
C1782,402.32443472246825
C1629,250.65913431189563
C1708,355.09215723504735
C2144,530.910934960427
C1617,1007.8965012549181
C1149,528.8474946268157
C1323,479.70030839114435
C1064,661.5497692147849
C1019,311.5212805393979
C2269,593.2300809746826
C1416,845.3575294512905
C1250,994.4641080533132
C1741,491.3786648513895
C1016,703.1027723355899
C2675,1081.4706188375085
C2436,681.0802092471677
C2039,891.2216235939804
C1253,773.8310143208611
C2028,1171.0571788797686
C1166,280.5554717865792
C1135,273.96063332588847
C1216,313.745693319857
C1593,316.6579427539394
C1826,192.59432740615168
C1827,338.4587486453255
C1564,364.3714201426775
C1495,973.3755814284359
C2653,717.3910078071677
C1392,599.9321120809581
C2128,353.5648525895976
C1282,623.4639584519442
C1521,1204.6888505937384
C2076,1002.6600816186043
C1060,622.6574822682743
C2473,1166.052483144796
C2557,681.9406146954858
C1835,738.3157558095136
C2224,667.6488721600861
C2222,357.56820684946035
C2430,693.0497887932274
C2497,511.04670549051866
C1494,843.0701552843883
C1457,599.2905404581476
C1525,1109.0068076344144
C1712,558.8534760315582
C2267,883.7325560885993
C1623,275.72754924320327
C2131,503.6975573574982
C2691,861.6613821123213
C1147,987.3532064571608
C1692,1018.7165278514888
C1570,821.5077804278501
C1474,208.94676200676713
C1633,138.24049705634152
C2113,529.1619672923796
C2175,760.1642074389883
C2303,1153.8433184967942
C2547,560.2584707826807
C2292,811.8224000575354
C1496,621.5378873291365
C1289,392.38476758612535
C1849,797.6440786959893
C1003,211.05164590266358
C2268,368.9336701300996
C2551,614.7907067807655
C2688,183.71160066379244
C1030,32.10037165104301
C1327,97.30314674423975
C2451,524.761878467543
C1749,489.346253984183
C1349,235.46132164915434
C2043,236.3143948543928
C1229,228.5498481801885
C2363,393.4148796446479
C1414,445.66472653864906
C2174,416.801026546574
C2091,187.86303116005482
C2335,748.7268101013831
C1841,42.98288927764422
C2404,90.59924528791527
C1683,222.65814652764203
C1038,218.92138104122378
C2456,234.7182691940344
C1266,439.97551010017486
C2152,79.17068727596175
C1267,270.1603293187917
C2189,96.61676129835175
